Year,Field,TeamSize,MultipleInstitutions,Disruption,id,TI,AB,pubdata,SO,SO_ID,PU,URL,first_page,last_page,volume,issue,OA,TC,PY,cited_by_url,DI,DT,MAGid
2020,16,43,1,0.00010201219045676,https://openalex.org/W3016902371,Using social and behavioural science to support COVID-19 pandemic response,"The COVID-19 pandemic represents a massive global health crisis. Because the crisis requires large-scale behaviour change and places significant psychological burdens on individuals, insights from the social and behavioural sciences can be used to help align human behaviour with the recommendations of epidemiologists and public health experts. Here we discuss evidence from a selection of research topics relevant to pandemics, including work on navigating threats, social and cultural influences on behaviour, science communication, moral decision-making, leadership, and stress and coping. In each section, we note the nature and quality of prior research, including uncertainty and unsettled issues. We identify several insights for effective response to the COVID-19 pandemic and highlight important gaps researchers should move quickly to fill in the coming weeks and months.",2020-04-30,Nature Human Behaviour,https://openalex.org/V2764866340,Springer Nature,https://doi.org/10.1038/s41562-020-0884-z,460,471,4,5,1,1931,2020,https://api.openalex.org/works?filter=cites:W3016902371,https://doi.org/10.1038/s41562-020-0884-z,journal-article,3016902371
2020,4,4,1,0.00138217000691085,https://openalex.org/W2944466752,Adaptive Fuzzy Finite-Time Control of Nonlinear Systems With Actuator Faults,"This paper addresses the trajectory tracking control problem of a class of nonstrict-feedback nonlinear systems with the actuator faults. The functional relationship in the affine form between the nonlinear functions with whole state and error variables is established by using the structure consistency of intermediate control signals and the variable-partition technique. The fuzzy control and adaptive backstepping schemes are applied to construct an improved fault-tolerant controller without requiring the specific knowledge of control gains and actuator faults, including both stuck constant value and loss of effectiveness. The proposed fault-tolerant controller ensures that all signals in the closed-loop system are semiglobally practically finite-time stable and the tracking error remains in a small neighborhood of the origin after a finite period of time. The developed control method is verified through two numerical examples.",2020-05-01,IEEE transactions on cybernetics,https://openalex.org/V4210191041,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/tcyb.2019.2902868,1786,1797,50,5,0,119,2020,https://api.openalex.org/works?filter=cites:W2944466752,https://doi.org/10.1109/tcyb.2019.2902868,journal-article,2944466752
2020,8,5,1,-0.000209467951403435,https://openalex.org/W3011774154,The political economy of car dependence: A systems of provision approach,"Research on car dependence exposes the difficulty of moving away from a car-dominated, high-carbon transport system, but neglects the political-economic factors underpinning car-dependent societies. Yet these factors are key constraints to attempts to ‘decouple' human well-being from energy use and climate change emissions. In this critical review paper, we identify some of the main political-economic factors behind car dependence, drawing together research from several fields. Five key constituent elements of what we call the ‘car-dependent transport system’ are identified: i) the automotive industry; ii) the provision of car infrastructure; iii) the political economy of urban sprawl; iv) the provision of public transport; v) cultures of car consumption. Using the ‘systems of provision’ approach within political economy, we locate the part played by each element within the key dynamic processes of the system as a whole. Such processes encompass industrial structure, political-economic relations, the built environment, and cultural feedback loops. We argue that linkages between these processes are crucial to maintaining car dependence and thus create carbon lock-in. In developing our argument we discuss several important characteristics of car-dependent transport systems: the role of integrated socio-technical aspects of provision, the opportunistic use of contradictory economic arguments serving industrial agendas, the creation of an apolitical facade around pro-car decision-making, and the ‘capture’ of the state within the car-dependent transport system. Through uncovering the constituents, processes and characteristics of car-dependent transport systems, we show that moving past the automobile age will require an overt and historically aware political program of research and action.",2020-08-01,Energy research and social science,https://openalex.org/V2764593084,Elsevier,https://doi.org/10.1016/j.erss.2020.101486,101486,101486,66,,1,110,2020,https://api.openalex.org/works?filter=cites:W3011774154,https://doi.org/10.1016/j.erss.2020.101486,journal-article,3011774154
2020,10,16,1,-0.000654450261780105,https://openalex.org/W3023461866,Introducing IEA EBC annex 79: Key challenges and opportunities in the field of occupant-centric building design and operation,"Abstract Despite the fact that buildings are designed for occupants in principle, evidence suggests buildings are often uncomfortable compared to the requirements of standards; difficult to control by occupants; and, operated inefficiently with regards to occupants’ preferences and presence. Meanwhile, practitioners –architects, engineers, technology companies, building managers and operators, and policymakers – lack the knowledge, tools, and precedent to design and operate buildings optimally considering the complex and diverse nature of occupants. Building on the success of IEA EBC Annex 6 (“Definition and simulation of occupant behavior in buildings”; 2013–2017), a follow-up IEA EBC Annex 79 (“Occupant-centric building design and operation”; 2018–2023) has been developed to address gaps in knowledge, practice, and technology. Annex 79 involves international researchers from diverse disciplines like engineering, architecture, computer science, psychology, and sociology. Annex 79 and this review paper have four main areas of focus: (1) multi-domain environmental exposure, building interfaces, and human behavior; (2) data-driven occupant modeling strategies and digital tools; (3) occupant-centric building design; and (4) occupant-centric building operation. The objective of this paper is to succinctly report on the leading research of the above topics and articulate the most pressing research needs – planned to be addressed by Annex 79 and beyond.",2020-07-01,Building and Environment,https://openalex.org/V56464651,Elsevier,https://doi.org/10.1016/j.buildenv.2020.106738,106738,106738,178,,1,74,2020,https://api.openalex.org/works?filter=cites:W3023461866,https://doi.org/10.1016/j.buildenv.2020.106738,journal-article,3023461866
2020,7,1,0,-0.000323729362253156,https://openalex.org/W3003996650,Why do several small patches hold more species than few large patches?,"Background: The principle that a single large habitat patch should hold more species than several small patches totalling the same area (SL > SS) is used by conservation agencies to favour protection of large, contiguous areas. Previous reviews of empirical studies have found the opposite, SS > SL, creating the single large or several small (SLOSS) debate. Aims: Review the empirical and theoretical SLOSS literature; identify potential mechanisms underlying the SS > SL pattern; evaluate these where possible. Location: Global. Time period: 1976–2018. Major taxa: Plants, invertebrates, vertebrates. Methods: Literature review. Results: Like previous reviews, I found that SS > SL dominates empirical findings. This pattern remained, although it was somewhat weakened, in studies where sampling intensity was proportional to patch size. I found six classes of theory, and conducted five preliminary evaluations of theory. None of the predictions was supported. The SS > SL pattern held for specialist species groups, suggesting it does not result from incursion by generalists into small patches. I found no evidence for the prediction that the reverse pattern (SL > SS) becomes more common over time since patch creation, through gradual species losses from SS. I found no difference between results for natural and anthropogenic patches. There was also no evidence for predictions that SL > SS is more common when the matrix is more hostile, or for stable than ephemeral patches. Main conclusions: Most empirical comparisons find SS > SL. While there are several potential causes, more empirical work is needed to identify those at play. Meanwhile, conservation practitioners should understand that there is no ecological evidence supporting a general principle to preserve large, contiguous habitat areas rather than multiple small areas of the same total size.",2020-04-01,Global Ecology and Biogeography,https://openalex.org/V169694011,Wiley,https://doi.org/10.1111/geb.13059,615,628,29,4,1,70,2020,https://api.openalex.org/works?filter=cites:W3003996650,https://doi.org/10.1111/geb.13059,journal-article,3003996650
2020,18,10,1,-0.000193012931866435,https://openalex.org/W2999001800,Ocean acidification does not impair the behaviour of coral reef fishes,"The partial pressure of CO2 in the oceans has increased rapidly over the past century, driving ocean acidification and raising concern for the stability of marine ecosystems1-3. Coral reef fishes are predicted to be especially susceptible to end-of-century ocean acidification on the basis of several high-profile papers4,5 that have reported profound behavioural and sensory impairments-for example, complete attraction to the chemical cues of predators under conditions of ocean acidification. Here, we comprehensively and transparently show that-in contrast to previous studies-end-of-century ocean acidification levels have negligible effects on important behaviours of coral reef fishes, such as the avoidance of chemical cues from predators, fish activity levels and behavioural lateralization (left-right turning preference). Using data simulations, we additionally show that the large effect sizes and small within-group variances that have been reported in several previous studies are highly improbable. Together, our findings indicate that the reported effects of ocean acidification on the behaviour of coral reef fishes are not reproducible, suggesting that behavioural perturbations will not be a major consequence for coral reef fishes in high CO2 oceans.",2020-01-08,Nature,https://openalex.org/V137773608,Springer Nature,https://doi.org/10.1038/s41586-019-1903-y,370,375,577,7790,1,65,2020,https://api.openalex.org/works?filter=cites:W2999001800,https://doi.org/10.1038/s41586-019-1903-y,journal-article,2999001800
2020,14,4,1,0.0,https://openalex.org/W2984448865,An Adaptive State Machine Based Energy Management Strategy for a Multi-Stack Fuel Cell Hybrid Electric Vehicle,"This paper aims at designing an online energy management strategy (EMS) for a multi-stack fuel cell hybrid electric vehicle (FCHEV) to enhance the fuel economy as well as the fuel cell stacks (FCSs) lifetime. In this respect, a two-layer strategy is proposed to share the power among four FCSs and a battery pack. The first layer (local to each FCS) is held solely responsible for constantly determining the real maximum power and efficiency of each stack since the operating conditions variation and ageing noticeably influence stacks’ performance. This layer is composed of a FCS semi-empirical model and a Kalman filter. The utilized filter updates the FCS model parameters to compensate for the FCSs’ performance drifts. The second layer (global management) is held accountable for splitting the power among components. This layer uses two inputs per each FCS, updated maximum power and efficiency, as well as the battery state of charge (SOC) and powertrain demanded power to perform the power sharing. The proposed EMS, called adaptive state machine strategy, employs the first two inputs to sort the FCSs out and the other inputs to do the power allocation. The ultimate results of the suggested strategy are compared with two commonly used power sharing methods, namely Daisy Chain and Equal Distribution. The results of the suggested EMS indicate promising improvement in the overall performance of the system. The performance validation is conducted on a developed test bench by means of hardware-in-the-loop (HIL) technique.",2020-01-01,IEEE Transactions on Vehicular Technology,https://openalex.org/V10936095,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/tvt.2019.2950558,220,234,69,1,1,46,2020,https://api.openalex.org/works?filter=cites:W2984448865,https://doi.org/10.1109/tvt.2019.2950558,journal-article,2984448865
2020,10,5,1,0.0,https://openalex.org/W2999785729,A scalable Bluetooth Low Energy approach to identify occupancy patterns and profiles in office spaces,"Abstract Building occupants are often assumed to follow deterministic schedules in building performance simulation programs. Therefore, to accurately capture the dynamic nature of the occupants' movement patterns, researchers have proposed various indoor localisation technologies to infer occupancy information with varying degrees of accuracy and resolution. Among these technologies, the Bluetooth Low Energy (BLE) technology emerged as a popular alternative due to its availability in smartphone devices, as well as its low cost and power demand. In this study, we proposed a scalable and less intrusive occupancy detection method that leverages existing BLE technologies found in smartphone devices to perform zone-level occupancy localisation, without the need for a mobile application. The proposed method uses a network of BLE beacons for data collection before passing the pre-processed data into a machine learning model to infer the occupants' zone-level location. A supervised ensemble model and a semi-supervised clustering model were proposed and evaluated to identify the best performing model. The feasibility of the proposed method is demonstrated during a five-week case study involving two office spaces in an academic building in Singapore. While the supervised ensemble model produced the best performance in terms of accuracy and macro-average f1-score, the semi-supervised model was able to produce a reasonable performance while using a fraction of the training data (",2020-03-15,Building and Environment,https://openalex.org/V56464651,Elsevier,https://doi.org/10.1016/j.buildenv.2020.106681,106681,106681,171,,0,43,2020,https://api.openalex.org/works?filter=cites:W2999785729,https://doi.org/10.1016/j.buildenv.2020.106681,journal-article,2999785729
2020,14,6,1,-0.000271296798697775,https://openalex.org/W3010012151,Robust Federated Learning With Noisy Communication,"Federated learning is a communication-efficient training process that alternate between local training at the edge devices and averaging of the updated local model at the center server. Nevertheless, it is impractical to achieve perfect acquisition of the local models in wireless communication due to the noise, which also brings serious effect on federated learning. To tackle this challenge in this paper, we propose a robust design for federated learning to decline the effect of noise. Considering the noise in two aforementioned steps, we first formulate the training problem as a parallel optimization for each node under the expectation-based model and worst-case model. Due to the non-convexity of the problem, regularizer approximation method is proposed to make it tractable. Regarding the worst-case model, we utilize the sampling-based successive convex approximation algorithm to develop a feasible training scheme to tackle the unavailable maxima or minima noise condition and the non-convex issue of the objective function. Furthermore, the convergence rates of both new designs are analyzed from a theoretical point of view. Finally, the improvement of prediction accuracy and the reduction of loss function value are demonstrated via simulation for the proposed designs.",2020-03-06,IEEE Transactions on Communications,https://openalex.org/V196647941,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/tcomm.2020.2979149,3452,3464,68,6,1,39,2020,https://api.openalex.org/works?filter=cites:W3010012151,https://doi.org/10.1109/tcomm.2020.2979149,journal-article,3010012151
2020,16,5,1,-0.000826787928896238,https://openalex.org/W2891114763,"Expanding the Home Numeracy Model to Chilean children: Relations among parental expectations, attitudes, activities, and children’s mathematical outcomes","Abstract We used structural equation modeling to evaluate an enhanced version of the Home Numeracy Model proposed by Skwarchuk and colleagues (2014, Journal of Experimental Child Psychology, 121, 63–84). Participants were 39 Chilean preschool children and their parents. Children completed numeracy and literacy tasks at the beginning of preschool (mean age:  years and  months) and approximately  months later. Parents reported on the home numeracy activities they engaged in with their children, including formal (i.e., mapping and operational), informal (i.e., parents’ number-game knowledge), and home literacy activities (i.e., code-related and meaning-related), as well as on numeracy and literacy attitudes and expectations for children’s performance prior to Grade 1. We found that parents with more positive numeracy attitudes and higher academic expectations reported a higher frequency of formal numeracy (mapping and operational) activities. In turn, formal operational activities predicted number line estimation and applied problem-solving skills. In contrast, informal activities (i.e., parents’ number-game knowledge) predicted children’s non-symbolic arithmetic and non-symbolic number comparison tasks, as well as their applied problem-solving skills. The links between home activities and numeracy outcomes were domain specific: Parents’ reports of literacy activities did not predict early numeracy skills. We discuss how our results support the enhanced Home Numeracy Model and thus provide a more complete framework connecting parents’ engagement in numeracy activities and children’s mathematical outcomes.",2020-01-01,Early Childhood Research Quarterly,https://openalex.org/V114141255,Elsevier,https://doi.org/10.1016/j.ecresq.2018.06.010,16,28,50,,0,38,2020,https://api.openalex.org/works?filter=cites:W2891114763,https://doi.org/10.1016/j.ecresq.2018.06.010,journal-article,2891114763
