Year,Field,TeamSize,MultipleInstitutions,Disruption,id,TI,AB,pubdata,SO,SO_ID,PU,URL,first_page,last_page,volume,issue,OA,TC,PY,cited_by_url,DI,DT,MAGid
2020,7,8,1,0.000252143217347453,https://openalex.org/W3030441098,PICRUSt2 for prediction of metagenome functions,,2020-06-01,Nature Biotechnology,https://openalex.org/V106963461,Springer Nature,https://doi.org/10.1038/s41587-020-0548-6,685,688,38,6,1,919,2020,https://api.openalex.org/works?filter=cites:W3030441098,https://doi.org/10.1038/s41587-020-0548-6,journal-article,3030441098
2020,7,44,1,-0.000456577570626843,https://openalex.org/W3030748957,SARS-CoV-2 Reverse Genetics Reveals a Variable Infection Gradient in the Respiratory Tract,"The mode of acquisition and causes for the variable clinical spectrum of coronavirus disease 201 (COVID-19) remain unknown. We utilized a reverse genetics system to generate a GFP reporter virus to explore severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pathogenesis and a luciferase reporter virus to demonstrate sera collected from SARS and COVID-19 patients exhibited limited cross-CoV neutralization. High-sensitivity RNA in situ mapping revealed the highest angiotensin-converting enzyme 2 (ACE2) expression in the nose with decreasing expression throughout the lower respiratory tract, paralleled by a striking gradient of SARS-CoV-2 infection in proximal (high) versus distal (low) pulmonary epithelial cultures. COVID-19 autopsied lung studies identified focal disease and, congruent with culture data, SARS-CoV-2-infected ciliated and type 2 pneumocyte cells in airway and alveolar regions, respectively. These findings highlight the nasal susceptibility to SARS-CoV-2 with likely subsequent aspiration-mediated virus seeding to the lung in SARS-CoV-2 pathogenesis. These reagents provide a foundation for investigations into virus-host interactions in protective immunity, host susceptibility, and virus pathogenesis.",2020-07-23,Cell,https://openalex.org/V110447773,Elsevier,https://doi.org/10.1016/j.cell.2020.05.042,429,446.e14,182,2,1,851,2020,https://api.openalex.org/works?filter=cites:W3030748957,https://doi.org/10.1016/j.cell.2020.05.042,journal-article,3030748957
2020,7,5,1,-0.000550834120239219,https://openalex.org/W2979715961,The New Tree of Eukaryotes,"For 15 years, the eukaryote Tree of Life (eToL) has been divided into five to eight major groupings, known as 'supergroups'. However, the tree has been profoundly rearranged during this time. The new eToL results from the widespread application of phylogenomics and numerous discoveries of major lineages of eukaryotes, mostly free-living heterotrophic protists. The evidence that supports the tree has transitioned from a synthesis of molecular phylogenetics and biological characters to purely molecular phylogenetics. Most current supergroups lack defining morphological or cell-biological characteristics, making the supergroup label even more arbitrary than before. Going forward, the combination of traditional culturing with maturing culture-free approaches and phylogenomics should accelerate the process of completing and resolving the eToL at its deepest levels.",2020-01-01,Trends in Ecology and Evolution,https://openalex.org/V79131028,Elsevier,https://doi.org/10.1016/j.tree.2019.08.008,43,55,35,1,1,292,2020,https://api.openalex.org/works?filter=cites:W2979715961,https://doi.org/10.1016/j.tree.2019.08.008,journal-article,2979715961
2020,7,115,1,-6.93567851742936e-05,https://openalex.org/W3016007634,A connectome and analysis of the adult Drosophila central brain,"The neural circuits responsible for animal behavior remain largely unknown. We summarize new methods and present the circuitry of a large fraction of the brain of the fruit fly Drosophila melanogaster . Improved methods include new procedures to prepare, image, align, segment, find synapses in, and proofread such large data sets. We define cell types, refine computational compartments, and provide an exhaustive atlas of cell examples and types, many of them novel. We provide detailed circuits consisting of neurons and their chemical synapses for most of the central brain. We make the data public and simplify access, reducing the effort needed to answer circuit questions, and provide procedures linking the neurons defined by our analysis with genetic reagents. Biologically, we examine distributions of connection strengths, neural motifs on different scales, electrical consequences of compartmentalization, and evidence that maximizing packing density is an important criterion in the evolution of the fly’s brain.",2020-09-07,eLife,https://openalex.org/V1336409049,"eLife Sciences Publications, Ltd.",https://doi.org/10.7554/elife.57443,,,9,,1,276,2020,https://api.openalex.org/works?filter=cites:W3016007634,https://doi.org/10.7554/elife.57443,journal-article,3016007634
2020,2,9,1,0.00306044376434583,https://openalex.org/W3014296112,Managing patients with chronic pain during the COVID-19 outbreak: considerations for the rapid introduction of remotely supported (eHealth) pain management services,"Across the world, pain treatment centres have closed their doors. Because of the COVID-19 pandemic, healthcare providers are abruptly changing their care delivery to protect patients and staff from infection and to reallocate resource towards the greatest acute needs. Elective, routine, and nonemergency casework has stopped in secondary and tertiary centres, while in primary care, patients are requested to stay away or “socially distance,” and in residential care facilities and hospices, strict isolation and separation protocols have been introduced.

Before the COVID-19 pandemic, telemedicine and eHealth approaches were being developed and tested in a gradual fashion with many studies focusing on lessons learned and barriers to using digital solutions.3,37,39,51 Overnight, however, treating or supporting people with non-urgent and long-term conditions at a distance from healthcare providers has become imperative. These immediate changes are happening across healthcare systems. Telemedicine is being used to demand-manage the flow of patients with respiratory distress accessing emergency departments25; video consultation is being introduced in multiple settings23; and using social media is being discussed positively for its potential to direct people to trusted resources, to counteract misinformation, and to provide psychological first aid.36

Pain management providers face the challenge of delivering face-to-face service through different modes. Fortunately, there is a rich stream of research and clinical experience in the use of different technological solutions. Table ​Table11 provides a summary of the definitions and terminology in use.

Table 1

Definitions and terminology used in remotely supported pain management.",2020-05-01,Pain,https://openalex.org/V140848990,Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins,https://doi.org/10.1097/j.pain.0000000000001885,889,893,161,5,1,241,2020,https://api.openalex.org/works?filter=cites:W3014296112,https://doi.org/10.1097/j.pain.0000000000001885,journal-article,3014296112
2020,16,2,1,0.000186532363365044,https://openalex.org/W2992523564,Resilience and mental health: how multisystemic processes contribute to positive outcomes,"More is known about the factors that predict mental disorder than about the factors and processes that promote positive development among individuals exposed to atypically high levels of stress or adversity. In this brief Review of the science of resilience, we show that the concept is best understood as the process of multiple biological, psychological, social, and ecological systems interacting in ways that help individuals to regain, sustain, or improve their mental wellbeing when challenged by one or more risk factors. Studies in fields as diverse as genetics, psychology, political science, architecture, and human ecology are showing that resilience depends just as much on the culturally relevant resources available to stressed individuals in their social, built, and natural environments as it does on individual thoughts, feelings, and behaviours. With growing interest in resilience among mental health-care providers, there is a need to recognise the complex interactions across systems that predict which individuals will do well and to use this insight to advance mental health interventions.",2020-05-01,The Lancet Psychiatry,https://openalex.org/V2531556786,Elsevier,https://doi.org/10.1016/s2215-0366(19)30434-1,441,448,7,5,0,191,2020,https://api.openalex.org/works?filter=cites:W2992523564,https://doi.org/10.1016/s2215-0366(19)30434-1,journal-article,2992523564
2020,16,12,1,0.000150375939849624,https://openalex.org/W3021346318,Stress resilience during the coronavirus pandemic,"The epidemic of the 2019 novel coronavirus SARS-CoV-2, causing the coronavirus disease 2019 (COVID-19) is a global public health emergency with multifaceted severe consequences for people's lives and their mental health. In this article, as members of the European College of Neuropsychopharmacology (ECNP) Resilience, we will discuss the urgent need for a focus on resilience during the current coronavirus pandemic. Resilience is pivotal to cope with stress and vital to stay in balance. We will discuss the importance of resilience at the individual and societal level, but also the implication for patients with a psychiatric condition and health care workers. We not only advocate for an increased focus on mental health during the coronavirus pandemic but also highlight the urgent need of augmenting our focus on resilience and on strategies to enhance it.",2020-06-01,European Neuropsychopharmacology,https://openalex.org/V168041952,Elsevier,https://doi.org/10.1016/j.euroneuro.2020.05.003,12,16,35,,1,186,2020,https://api.openalex.org/works?filter=cites:W3021346318,https://doi.org/10.1016/j.euroneuro.2020.05.003,journal-article,3021346318
2020,2,3,1,-0.00125234815278647,https://openalex.org/W3012810940,COVID-19 in children: the link in the transmission chain,"Severe acute respiratory syndrome coronavirus  (SARS-CoV-2), which causes coronavirus disease 2019 (COVID-19), emerged from Wuhan, Hubei province, China, in late 2019 and has now reached pandemic status.1 Coronaviruses typically cause mild upper respiratory tract infections;2 however, SARS-CoV-2,3 severe acute respiratory syndrome coronavirus (SARS-CoV),4 and Middle East respiratory syndrome coronavirus (MERS-CoV)5 have all been associated with severe illness and death. Common symptoms reported in adults with COVID-19 are fever, dry cough, and fatigue; severe cases have been associated with dyspnoea and bilateral ground-glass opacities on chest CT.",2020-03-25,Lancet Infectious Diseases,https://openalex.org/V23772524,Elsevier,https://doi.org/10.1016/s1473-3099(20)30236-x,633,634,20,6,1,162,2020,https://api.openalex.org/works?filter=cites:W3012810940,https://doi.org/10.1016/s1473-3099(20)30236-x,journal-article,3012810940
2020,10,4,1,0.001131381699901,https://openalex.org/W3022605724,"The scientific literature on Coronaviruses, COVID-19 and its associated safety-related research dimensions: A scientometric analysis and scoping review","The COVID-19 global pandemic has generated an abundance of research quickly following the outbreak. Within only a few months, more than a thousand studies on this topic have already appeared in the scientific literature. In this short review, we analyse the bibliometric aspects of these studies on a macro level, as well as those addressing Coronaviruses in general. Furthermore, through a scoping analysis of the literature on COVID-19, we identify the main safety-related dimensions that these studies have thus far addressed. Our findings show that across various research domains, and apart from the medical and clinical aspects such as the safety of vaccines and treatments, issues related to patient transport safety, occupational safety of healthcare professionals, biosafety of laboratories and facilities, social safety, food safety, and particularly mental/psychological health and domestic safety have thus far attracted most attention of the scientific community in relation to the COVID-19 pandemic. Our analysis also uncovers various potentially significant safety problems caused by this global health emergency which currently have attracted only limited scientific focus but may warrant more attention. These include matters such as cyber safety, economic safety, and supply-chain safety. These findings highlight why, from an academic research perspective, a holistic interdisciplinary approach and a collective scientific effort is required to help understand and mitigate the various safety impacts of this crisis whose implications reach far beyond the bio-medical risks. Such holistic safety-scientific understanding of the COVID-19 crisis can furthermore be instrumental to be better prepared for a future pandemic.",2020-05-07,Safety Science,https://openalex.org/V123149298,Elsevier,https://doi.org/10.1016/j.ssci.2020.104806,104806,104806,129,,1,143,2020,https://api.openalex.org/works?filter=cites:W3022605724,https://doi.org/10.1016/j.ssci.2020.104806,journal-article,3022605724
2020,7,35,1,-2.59171428941673e-05,https://openalex.org/W2999160028,Intratumoral heterogeneity and clonal evolution in liver cancer,"Clonal evolution of a tumor ecosystem depends on different selection pressures that are principally immune and treatment mediated. We integrate RNA-seq, DNA sequencing, TCR-seq and SNP array data across multiple regions of liver cancer specimens to map spatio-temporal interactions between cancer and immune cells. We investigate how these interactions reflect intra-tumor heterogeneity (ITH) by correlating regional neo-epitope and viral antigen burden with the regional adaptive immune response. Regional expression of passenger mutations dominantly recruits adaptive responses as opposed to hepatitis B virus and cancer-testis antigens. We detect different clonal expansion of the adaptive immune system in distant regions of the same tumor. An ITH-based gene signature improves single-biopsy patient survival predictions and an expression survey of 38,553 single cells across  regions of  patients further reveals heterogeneity in liver cancer. These data quantify transcriptomic ITH and how the different components of the HCC ecosystem interact during cancer evolution.",2020-01-15,Nature Communications,https://openalex.org/V64187185,Springer Nature,https://doi.org/10.1038/s41467-019-14050-z,,,11,1,1,132,2020,https://api.openalex.org/works?filter=cites:W2999160028,https://doi.org/10.1038/s41467-019-14050-z,journal-article,2999160028
