Year,Field,TeamSize,MultipleInstitutions,Disruption,id,TI,AB,pubdata,SO,SO_ID,PU,URL,first_page,last_page,volume,issue,OA,TC,PY,cited_by_url,DI,DT,MAGid
2020,7,2,0,-2.33644859813084e-05,https://openalex.org/W2980963357,"A phylogenomic and comparative genomic framework for resolving the polyphyly of the genus Bacillus: Proposal for six new genera of Bacillus species, Peribacillus gen. nov., Cytobacillus gen. nov., Mesobacillus gen. nov., Neobacillus gen. nov., Metabacillus gen. nov. and Alkalihalobacillus gen. nov.","The genus Bacillus , harbouring 29 species/subspecies, constitutes a phylogenetically incoherent group. In the absence of reliable means for grouping known Bacillus species into distinct clades, restricting the placement of new species into this genus has proven difficult. To clarify the evolutionary relationships among Bacillus species, 35 available genome sequences from the family Bacillaceae were used to perform comprehensive phylogenomic and comparative genomic analyses. Four phylogenetic trees were reconstructed based on multiple datasets of proteins including 117 core Bacillaceae proteins, 8 proteins conserved within the phylum Firmicutes, GyrA–GyrB–RpoB–RpoC proteins, and UvrD–PolA proteins. All trees exhibited nearly identical branching of Bacillus species and consistently displayed six novel monophyletic clades encompassing 5–23 Bacillus species (denoted as the Simplex, Firmus, Jeotgali, Niacini, Fastidiosus and Alcalophilus clades), interspersed with other Bacillaceae species. Species from these clades also generally grouped together in 16S rRNA gene trees. In parallel, our comparative genomic analyses of Bacillus species led to the identification of 3 molecular markers comprising conserved signature indels in protein sequences that are specifically shared by the species from these six observed clades, thus reliably demarcating these clades based on multiple molecular synapomorphies. Based on the strong evidence from multiple lines of investigations supporting the existence of these six distinct ‘ Bacillus ’ clades, we propose the transfer of species from these clades into six novel Bacillaceae genera viz. Peribacillus gen. nov., Cytobacillus gen. nov., Mesobacillus gen. nov., Neobacillus gen. nov., Metabacillus gen. nov. and Alkalihalobacillus gen. nov. These results represent an important step towards clarifying the phylogeny/taxonomy of the genus Bacillus .",2020-01-01,International Journal of Systematic and Evolutionary Microbiology,https://openalex.org/V102181007,Microbiology Society,https://doi.org/10.1099/ijsem.0.003775,406,438,70,1,1,368,2020,https://api.openalex.org/works?filter=cites:W2980963357,https://doi.org/10.1099/ijsem.0.003775,journal-article,2980963357
2020,2,4,0,-0.000169975523524612,https://openalex.org/W3014615840,Medical masks vs N95 respirators for preventing COVID‐19 in healthcare workers: A systematic review and meta‐analysis of randomized trials,"Background Respiratory protective devices are critical in protecting against infection in healthcare workers at high risk of novel 2019 coronavirus disease (COVID-19); however, recommendations are conflicting and epidemiological data on their relative effectiveness against COVID-19 are limited. Purpose To compare medical masks to N95 respirators in preventing laboratory-confirmed viral infection and respiratory illness including coronavirus specifically in healthcare workers. Data Sources MEDLINE, Embase, and CENTRAL from January 1, 2014, to March 9, 2020. Update of published search conducted from January 1, 1990, to December 9, 2014. Study Selection Randomized controlled trials (RCTs) comparing the protective effect of medical masks to N95 respirators in healthcare workers. Data Extraction Reviewer pair independently screened, extracted data, and assessed risk of bias and the certainty of the evidence. Data Synthesis Four RCTs were meta-analyzed adjusting for clustering. Compared with N95 respirators; the use of medical masks did not increase laboratory-confirmed viral (including coronaviruses) respiratory infection (OR 1.06; 95% CI 0.90-1.25; I2 = 0%; low certainty in the evidence) or clinical respiratory illness (OR 1.49; 95% CI: 0.98-2.28; I2 = 78%; very low certainty in the evidence). Only one trial evaluated coronaviruses separately and found no difference between the two groups (P = .49). Limitations Indirectness and imprecision of available evidence. Conclusions Low certainty evidence suggests that medical masks and N95 respirators offer similar protection against viral respiratory infection including coronavirus in healthcare workers during non–aerosol-generating care. Preservation of N95 respirators for high-risk, aerosol-generating procedures in this pandemic should be considered when in short supply.",2020-07-01,Influenza and Other Respiratory Viruses,https://openalex.org/V93534766,Wiley,https://doi.org/10.1111/irv.12745,365,373,14,4,1,260,2020,https://api.openalex.org/works?filter=cites:W3014615840,https://doi.org/10.1111/irv.12745,journal-article,3014615840
2020,2,6,1,-9.6487842531841e-05,https://openalex.org/W3035928876,The unique characteristics of COVID-19 coagulopathy,"Abstract Thrombotic complications and coagulopathy frequently occur in COVID-19. However, the characteristics of COVID-19-associated coagulopathy (CAC) are distinct from those seen with bacterial sepsis-induced coagulopathy (SIC) and disseminated intravascular coagulation (DIC), with CAC usually showing increased D-dimer and fibrinogen levels but initially minimal abnormalities in prothrombin time and platelet count. Venous thromboembolism and arterial thrombosis are more frequent in CAC compared to SIC/DIC. Clinical and laboratory features of CAC overlap somewhat with a hemophagocytic syndrome, antiphospholipid syndrome, and thrombotic microangiopathy. We summarize the key characteristics of representative coagulopathies, discussing similarities and differences so as to define the unique character of CAC.",2020-06-18,Critical Care,https://openalex.org/V191417626,Springer Nature,https://doi.org/10.1186/s13054-020-03077-0,,,24,1,1,253,2020,https://api.openalex.org/works?filter=cites:W3035928876,https://doi.org/10.1186/s13054-020-03077-0,journal-article,3035928876
2020,7,14,1,-0.00025511831111678,https://openalex.org/W3005253578,Energy-stress-mediated AMPK activation inhibits ferroptosis,"Energy stress depletes ATP and induces cell death. Here we identify an unexpected inhibitory role of energy stress on ferroptosis, a form of regulated cell death induced by iron-dependent lipid peroxidation. We found that ferroptotic cell death and lipid peroxidation can be inhibited by treatments that induce or mimic energy stress. Inactivation of AMP-activated protein kinase (AMPK), a sensor of cellular energy status, largely abolishes the protective effects of energy stress on ferroptosis in vitro and on ferroptosis-associated renal ischaemia-reperfusion injury in vivo. Cancer cells with high basal AMPK activation are resistant to ferroptosis and AMPK inactivation sensitizes these cells to ferroptosis. Functional and lipidomic analyses further link AMPK regulation of ferroptosis to AMPK-mediated phosphorylation of acetyl-CoA carboxylase and polyunsaturated fatty acid biosynthesis. Our study demonstrates that energy stress inhibits ferroptosis partly through AMPK and reveals an unexpected coupling between ferroptosis and AMPK-mediated energy-stress signalling.",2020-02-06,Nature Cell Biology,https://openalex.org/V151741590,Springer Nature,https://doi.org/10.1038/s41556-020-0461-8,225,234,22,2,1,232,2020,https://api.openalex.org/works?filter=cites:W3005253578,https://doi.org/10.1038/s41556-020-0461-8,journal-article,3005253578
2020,14,5,1,0.00519930675909879,https://openalex.org/W3013056994,Predicting COVID-19 Incidence Through Analysis of Google Trends Data in Iran: Data Mining and Deep Learning Pilot Study,"Background The recent global outbreak of coronavirus disease (COVID-19) is affecting many countries worldwide. Iran is one of the top 10 most affected countries. Search engines provide useful data from populations, and these data might be useful to analyze epidemics. Utilizing data mining methods on electronic resources’ data might provide a better insight into the COVID-19 outbreak to manage the health crisis in each country and worldwide. Objective This study aimed to predict the incidence of COVID-19 in Iran. Methods Data were obtained from the Google Trends website. Linear regression and long short-term memory (LSTM) models were used to estimate the number of positive COVID-19 cases. All models were evaluated using 10-fold cross-validation, and root mean square error (RMSE) was used as the performance metric. Results The linear regression model predicted the incidence with an RMSE of 7.562 (SD 6.492). The most effective factors besides previous day incidence included the search frequency of handwashing, hand sanitizer, and antiseptic topics. The RMSE of the LSTM model was 27.187 (SD 20.705). Conclusions Data mining algorithms can be employed to predict trends of outbreaks. This prediction might support policymakers and health care managers to plan and allocate health care resources accordingly.",2020-04-14,JMIR public health and surveillance,https://openalex.org/V2764507669,JMIR Publications Inc.,https://doi.org/10.2196/18828,e18828,e18828,6,2,1,185,2020,https://api.openalex.org/works?filter=cites:W3013056994,https://doi.org/10.2196/18828,journal-article,3013056994
2020,16,22,1,-0.00100747208462766,https://openalex.org/W3014007058,COVID-19: Pandemic Contingency Planning for the Allergy and Immunology Clinic,"In the event of a global infectious pandemic, drastic measures may be needed that limit or require adjustment of ambulatory allergy services. However, no rationale for how to prioritize service shut down and patient care exists. A consensus-based ad-hoc expert panel of allergy/immunology specialists from the United States and Canada developed a service and patient prioritization schematic to temporarily triage allergy/immunology services. Recommendations and feedback were developed iteratively, using an adapted modified Delphi methodology to achieve consensus. During the ongoing pandemic while social distancing is being encouraged, most allergy/immunology care could be postponed/delayed or handled through virtual care. With the exception of many patients with primary immunodeficiency, patients on venom immunotherapy, and patients with asthma of a certain severity, there is limited need for face-to-face visits under such conditions. These suggestions are intended to help provide a logical approach to quickly adjust service to mitigate risk to both medical staff and patients. Importantly, individual community circumstances may be unique and require contextual consideration. The decision to enact any of these measures rests with the judgment of each clinician and individual health care system. Pandemics are unanticipated, and enforced social distancing/quarantining is highly unusual. This expert panel consensus document offers a prioritization rational to help guide decision making when such situations arise and an allergist/immunologist is forced to reduce services or makes the decision on his or her own to do so.",2020-03-26,The Journal of Allergy and Clinical Immunology: In Practice,https://openalex.org/V2754868259,Elsevier,https://doi.org/10.1016/j.jaip.2020.03.012,1477,1488.e5,8,5,1,178,2020,https://api.openalex.org/works?filter=cites:W3014007058,https://doi.org/10.1016/j.jaip.2020.03.012,journal-article,3014007058
2020,2,13,1,-0.000344851369059935,https://openalex.org/W3021186497,Modeling shield immunity to reduce COVID-19 epidemic spread,"The COVID-19 pandemic has precipitated a global crisis, with more than 1,430,000 confirmed cases and more than 85,000 confirmed deaths globally as of 9 April 20201,2,3,4. Mitigation and suppression of new infections have emerged as the two predominant public health control strategies5. Both strategies focus on reducing new infections by limiting human-to-human interactions, which could be both socially and economically unsustainable in the long term. We have developed and analyzed an epidemiological intervention model that leverages serological tests6,7 to identify and deploy recovered individuals8 as focal points for sustaining safer interactions via interaction substitution, developing what we term ‘shield immunity’ at the population scale. The objective of a shield immunity strategy is to help to sustain the interactions necessary for the functioning of essential goods and services9 while reducing the probability of transmission. Our shield immunity approach could substantively reduce the length and reduce the overall burden of the current outbreak, and can work synergistically with social distancing. The present model highlights the value of serological testing as part of intervention strategies, in addition to its well-recognized roles in estimating prevalence10,11 and in the potential development of plasma-based therapies12,13,14,15.",2020-05-07,Nature Medicine,https://openalex.org/V203256638,Springer Nature,https://doi.org/10.1038/s41591-020-0895-3,849,854,26,6,1,162,2020,https://api.openalex.org/works?filter=cites:W3021186497,https://doi.org/10.1038/s41591-020-0895-3,journal-article,3021186497
2020,2,5,1,0.0782997762863535,https://openalex.org/W3013310257,Protected Code Stroke,"Background and Purpose— Hyperacute assessment and management of patients with stroke, termed code stroke, is a time-sensitive and high-stakes clinical scenario. In the context of the current coronavirus disease 2019 (COVID-19) pandemic caused by the SARS-CoV-2 virus, the ability to deliver timely and efficacious care must be balanced with the risk of infectious exposure to the clinical team. Furthermore, rapid and effective stroke care remains paramount to achieve maximal functional recovery for those needing admission and to triage care appropriately for those who may be presenting with neurological symptoms but have an alternative diagnosis. Methods— Available resources, COVID-19-specific infection prevention and control recommendations, and expert consensus were used to identify clinical screening criteria for patients and provide the required nuanced considerations for the healthcare team, thereby modifying the conventional code stroke processes to achieve a protected designation. Results— A protected code stroke algorithm was developed. Features specific to prenotification and clinical status of the patient were used to define precode screening. These include primary infectious symptoms, clinical, and examination features. A focused framework was then developed with regard to a protected code stroke. We outline the specifics of personal protective equipment use and considerations thereof including aspects of crisis resource management impacting team role designation and human performance factors during a protected code stroke. Conclusions— We introduce the concept of a protected code stroke during a pandemic, as in the case of COVID-19, and provide a framework for key considerations including screening, personal protective equipment, and crisis resource management. These considerations and suggested algorithms can be utilized and adapted for local practice.",2020-01-01,Stroke,https://openalex.org/V62532593,Ovid Technologies Wolters Kluwer -American Heart Association,https://doi.org/10.1161/strokeaha.120.029838,1891,1895,51,6,1,140,2020,https://api.openalex.org/works?filter=cites:W3013310257,https://doi.org/10.1161/strokeaha.120.029838,journal-article,3013310257
2020,7,12,1,-3.32667997338656e-05,https://openalex.org/W3035408975,The mechanisms of sorafenib resistance in hepatocellular carcinoma: theoretical basis and therapeutic aspects,"Abstract Sorafenib is a multikinase inhibitor capable of facilitating apoptosis, mitigating angiogenesis and suppressing tumor cell proliferation. In late-stage hepatocellular carcinoma (HCC), sorafenib is currently an effective first-line therapy. Unfortunately, the development of drug resistance to sorafenib is becoming increasingly common. This study aims to identify factors contributing to resistance and ways to mitigate resistance. Recent studies have shown that epigenetics, transport processes, regulated cell death, and the tumor microenvironment are involved in the development of sorafenib resistance in HCC and subsequent HCC progression. This study summarizes discoveries achieved recently in terms of the principles of sorafenib resistance and outlines approaches suitable for improving therapeutic outcomes for HCC patients.",2020-06-10,Signal Transduction and Targeted Therapy,https://openalex.org/V2739142469,Springer Nature,https://doi.org/10.1038/s41392-020-0187-x,,,5,1,1,128,2020,https://api.openalex.org/works?filter=cites:W3035408975,https://doi.org/10.1038/s41392-020-0187-x,journal-article,3035408975
2020,7,20,1,-0.000125722906713603,https://openalex.org/W3023175438,"Threats Posed by the Fungal Kingdom to Humans, Wildlife, and Agriculture","The fungal kingdom includes at least  million eukaryotic species and is remarkable with respect to its profound impact on global health, biodiversity, ecology, agriculture, manufacturing, and biomedical research. Approximately 62 fungal species have been reported to infect vertebrates, 20 of which can be human associated, either as commensals and members of our microbiome or as pathogens that cause infectious diseases. These organisms pose a growing threat to human health with the global increase in the incidence of invasive fungal infections, prevalence of fungal allergy, and the evolution of fungal pathogens resistant to some or all current classes of antifungals.",2020-06-30,MBio,https://openalex.org/V4210201176,American Society for Microbiology,https://doi.org/10.1128/mbio.00449-20,,,11,3,1,123,2020,https://api.openalex.org/works?filter=cites:W3023175438,https://doi.org/10.1128/mbio.00449-20,journal-article,3023175438
