Year,Field,TeamSize,MultipleInstitutions,Disruption,id,TI,AB,pubdata,SO,SO_ID,PU,URL,first_page,last_page,volume,issue,OA,TC,PY,cited_by_url,DI,DT,MAGid
2020,2,4,1,-0.0026664372957165,https://openalex.org/W3005561939,Practical recommendations for critical care and anesthesiology teams caring for novel coronavirus (2019-nCoV) patients,"A global health emergency has been declared by the World Health Organization as the 2019-nCoV outbreak spreads across the world, with confirmed patients in Canada. Patients infected with 2019-nCoV are at risk for developing respiratory failure and requiring admission to critical care units. While providing optimal treatment for these patients, careful execution of infection control measures is necessary to prevent nosocomial transmission to other patients and to healthcare workers providing care. Although the exact mechanisms of transmission are currently unclear, human-to-human transmission can occur, and the risk of airborne spread during aerosol-generating medical procedures remains a concern in specific circumstances. This paper summarizes important considerations regarding patient screening, environmental controls, personal protective equipment, resuscitation measures (including intubation), and critical care unit operations planning as we prepare for the possibility of new imported cases or local outbreaks of 2019-nCoV. Although understanding of the 2019-nCoV virus is evolving, lessons learned from prior infectious disease challenges such as Severe Acute Respiratory Syndrome will hopefully improve our state of readiness regardless of the number of cases we eventually manage in Canada.",2020-02-12,Canadian Journal Of Anesthesia/journal Canadien D'anesthésie,https://openalex.org/V4210186964,Springer Nature,https://doi.org/10.1007/s12630-020-01591-x,568,576,67,5,1,578,2020,https://api.openalex.org/works?filter=cites:W3005561939,https://doi.org/10.1007/s12630-020-01591-x,journal-article,3005561939
2020,2,3,0,-0.00455407969639469,https://openalex.org/W3014200667,"Cancer, COVID-19 and the precautionary principle: prioritizing treatment during a global pandemic.","During the COVID-19 global pandemic, the cancer community faces many difficult questions. We will first discuss safety considerations for patients with cancer requiring treatment in SARS-CoV-2 endemic areas. We will then discuss a general framework for prioritizing cancer care, emphasizing the precautionary principle in decision making.",2020-05-01,Nature Reviews Clinical Oncology,https://openalex.org/V41981144,Springer Nature,https://pubmed.ncbi.nlm.nih.gov/32242095/,268,270,17,5,,250,2020,https://api.openalex.org/works?filter=cites:W3014200667,https://doi.org/10.1038/s41571-020-0362-6,journal-article,3014200667
2020,2,1,0,0.000200220242266493,https://openalex.org/W3012612670,Disseminated intravascular coagulation in patients with 2019‐nCoV pneumonia,,2020-04-01,Journal of Thrombosis and Haemostasis,https://openalex.org/V164469042,Wiley,https://doi.org/10.1111/jth.14781,786,787,18,4,1,218,2020,https://api.openalex.org/works?filter=cites:W3012612670,https://doi.org/10.1111/jth.14781,journal-article,3012612670
2020,16,22,1,-0.00100747208462766,https://openalex.org/W3014007058,COVID-19: Pandemic Contingency Planning for the Allergy and Immunology Clinic,"In the event of a global infectious pandemic, drastic measures may be needed that limit or require adjustment of ambulatory allergy services. However, no rationale for how to prioritize service shut down and patient care exists. A consensus-based ad-hoc expert panel of allergy/immunology specialists from the United States and Canada developed a service and patient prioritization schematic to temporarily triage allergy/immunology services. Recommendations and feedback were developed iteratively, using an adapted modified Delphi methodology to achieve consensus. During the ongoing pandemic while social distancing is being encouraged, most allergy/immunology care could be postponed/delayed or handled through virtual care. With the exception of many patients with primary immunodeficiency, patients on venom immunotherapy, and patients with asthma of a certain severity, there is limited need for face-to-face visits under such conditions. These suggestions are intended to help provide a logical approach to quickly adjust service to mitigate risk to both medical staff and patients. Importantly, individual community circumstances may be unique and require contextual consideration. The decision to enact any of these measures rests with the judgment of each clinician and individual health care system. Pandemics are unanticipated, and enforced social distancing/quarantining is highly unusual. This expert panel consensus document offers a prioritization rational to help guide decision making when such situations arise and an allergist/immunologist is forced to reduce services or makes the decision on his or her own to do so.",2020-03-26,The Journal of Allergy and Clinical Immunology: In Practice,https://openalex.org/V2754868259,Elsevier,https://doi.org/10.1016/j.jaip.2020.03.012,1477,1488.e5,8,5,1,178,2020,https://api.openalex.org/works?filter=cites:W3014007058,https://doi.org/10.1016/j.jaip.2020.03.012,journal-article,3014007058
2020,0,7,1,0.000577533930118395,https://openalex.org/W3013700205,COVID-19: Global radiation oncology’s targeted response for pandemic preparedness,"<h2>Abstract</h2> As the global COVID-19 pandemic escalates there is a need within radiation oncology to work to support our patients in the best way possible. Measures are required to reduce infection spread between patients and within the workforce. Departments need contingency planning to create capacity and continue essential treatments despite a reduced workforce. The #radonc community held an urgent online journal club on Twitter in March 202 to discuss these issues and create some consensus on crucial next steps. There were 12 global contributors. This document summarises these discussions around themes of infection prevention, rationalisation of workload and working practice in the presence of infection.",2020-05-01,Clinical and Translational Radiation Oncology,https://openalex.org/V2898297225,Elsevier,https://doi.org/10.1016/j.ctro.2020.03.009,55,68,22,,1,141,2020,https://api.openalex.org/works?filter=cites:W3013700205,https://doi.org/10.1016/j.ctro.2020.03.009,journal-article,3013700205
2020,2,5,1,-0.00226477249330863,https://openalex.org/W3018630329,Personal protective equipment (PPE) for both anesthesiologists and other airway managers: principles and practice during the COVID-19 pandemic,"Healthcare providers are facing a coronavirus disease pandemic. This pandemic may last for many months, stressing the Canadian healthcare system in a way that has not previously been seen. Keeping healthcare providers safe, healthy, and available to work throughout this pandemic is critical. The consistent use of appropriate personal protective equipment (PPE) will help assure its availability and healthcare provider safety. The purpose of this communique is to give both anesthesiologists and other front-line healthcare providers a framework from which to understand the principles and practices surrounding PPE decision-making. We propose three types of PPE including: 1) PPE for droplet and contact precautions, 2) PPE for general airborne, droplet, and contact precautions, and 3) PPE for those performing or assisting with high-risk aerosol-generating medical procedures.",2020-01-01,Canadian Journal Of Anesthesia/journal Canadien D'anesthésie,https://openalex.org/V4210186964,Springer Nature,https://doi.org/10.1007/s12630-020-01673-w,1005,1015,67,8,1,99,2020,https://api.openalex.org/works?filter=cites:W3018630329,https://doi.org/10.1007/s12630-020-01673-w,journal-article,3018630329
2020,6,9,1,-0.00133422281521014,https://openalex.org/W2970022829,Binary Co–Ni oxide nanoparticle-loaded hierarchical graphitic porous carbon for high-performance supercapacitors,"Abstract Heteroatom doped graphitic porous carbon is highly desirable for electrochemical applications because of its excellent conductivity and high surface area. In this study, highly uniform Co-Ni oxide nanoparticle-loaded B, N-doped hierarchical graphitic porous carbon was prepared through a dual pyrolysis process. Graphene dispersed chitosan hydrogel was first used as a precursor to fabricate the porous carbon (GCS–C) at 700 °C. Co and Ni oxide nanoparticles were further anchored on the porous carbon through chemical reduction and calcined at high temperature. The structure of the porous carbon was optimized by the introduction of graphene to the chitosan hydrogel. The graphitic degree of the porous carbon was significantly improved by the Co and Ni species. The heteroatom B and N were found to be well doped in the composite. These features enable the composite to be an excellent candidate for supercapacitor electrodes. The composite demonstrates a high capacitance (1266.7 F g−1 at 1 A g−1) and excellent stability.",2020-01-15,Journal of Materials Science & Technology,https://openalex.org/V135187643,Elsevier,https://doi.org/10.1016/j.jmst.2019.08.015,135,142,37,,0,96,2020,https://api.openalex.org/works?filter=cites:W2970022829,https://doi.org/10.1016/j.jmst.2019.08.015,journal-article,2970022829
2020,2,3,1,-0.00141402714932127,https://openalex.org/W3021064865,Differentiating COVID-19 Pneumonia From Acute Respiratory Distress Syndrome and High Altitude Pulmonary Edema,,2020-07-14,Circulation,https://openalex.org/V116251202,Ovid Technologies Wolters Kluwer -American Heart Association,https://doi.org/10.1161/circulationaha.120.047915,101,104,142,2,1,89,2020,https://api.openalex.org/works?filter=cites:W3021064865,https://doi.org/10.1161/circulationaha.120.047915,journal-article,3021064865
2020,7,7,1,-0.000121191555372422,https://openalex.org/W3009077651,The epigenetic regulators and metabolic changes in ferroptosis-associated cancer progression,"Abstract Ferroptosis, a novel form of regulated cell death, is different from other types of cell death in morphology, genetics and biochemistry. Increasing evidence indicates that ferroptosis has significant implications on cell death linked to cardiomyopathy, tumorigenesis, and cerebral hemorrhage to name a few. Here we summarize current literature on ferroptosis, including organelle dysfunction, signaling transduction pathways, metabolic reprogramming and epigenetic regulators in cancer progression. With regard to organelles, mitochondria-induced cysteine starvation, endoplasmic reticulum-related oxidative stress, lysosome dysfunction and golgi stress-related lipid peroxidation all contribute to induction of ferroptosis. Understanding the underlying mechanism in ferroptosis could provide insight into the treatment of various intractable diseases including cancers.",2020-02-27,Molecular Cancer,https://openalex.org/V132829192,Springer Nature,https://doi.org/10.1186/s12943-020-01157-x,,,19,1,1,87,2020,https://api.openalex.org/works?filter=cites:W3009077651,https://doi.org/10.1186/s12943-020-01157-x,journal-article,3009077651
2020,14,6,1,-0.000821692686935086,https://openalex.org/W2945932175,Transformerless Inverter Topologies for Single-Phase Photovoltaic Systems: A Comparative Review,"In photovoltaic (PV) applications, a transformer is often used to provide galvanic isolation and voltage ratio transformations between input and output. However, these conventional iron- and copper-based transformers increase the weight/size and cost of the inverter while reducing the efficiency and power density. It is therefore desirable to avoid using transformers in the inverter. However, additional care must be taken to avoid safety hazards such as ground fault currents and leakage currents, e.g., via the parasitic capacitor between the PV panel and ground. Consequently, the grid connected transformerless PV inverters must comply with strict safety standards such as IEEE 1547.1, VDE0126-1-1, EN 50106, IEC61727, and $\text{A}S/N$ ZS 5033. Various transformerless inverters have been proposed recently to eliminate the leakage current using different techniques such as decoupling the dc from the ac side and/or clamping the common mode (CM) voltage (CMV) during the freewheeling period, or using common ground configurations. The permutations and combinations of various decoupling techniques with integrated voltage buck–boost for maximum power point tracking (MPPT) allow numerous new topologies and configurations which are often confusing and difficult to follow when seeking to select the right topology. Therefore, to present a clear picture on the development of transformerless inverters for the next-generation grid-connected PV systems, this paper aims to comprehensively review and classify various transformerless inverters with detailed analytical comparisons. To reinforce the findings and comparisons as well as to give more insight on the CM characteristics and leakage current, computer simulations of major transformerless inverter topologies have been performed in PLECS software. Moreover, the cost and size are analyzed properly and summarized in a table. Finally, efficiency and thermal analysis are provided with a general summary as well as a technology roadmap.",2020-03-01,IEEE Journal of Emerging and Selected Topics in Power Electronics,https://openalex.org/V2764857692,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/jestpe.2019.2908672,805,835,8,1,1,85,2020,https://api.openalex.org/works?filter=cites:W2945932175,https://doi.org/10.1109/jestpe.2019.2908672,journal-article,2945932175
