Year,Field,TeamSize,MultipleInstitutions,Disruption,id,TI,AB,pubdata,SO,SO_ID,PU,URL,first_page,last_page,volume,issue,OA,TC,PY,cited_by_url,DI,DT,MAGid
2020,2,3,1,0.018450184501845,https://openalex.org/W3010336234,COVID-19: the gendered impacts of the outbreak,"Policies and public health efforts have not addressed the gendered impacts of disease outbreaks.1 The response to coronavirus disease 2019 (COVID-19) appears no different. We are not aware of any gender analysis of the outbreak by global health institutions or governments in affected countries or in preparedness phases. Recognising the extent to which disease outbreaks affect women and men differently is a fundamental step to understanding the primary and secondary effects of a health emergency on different individuals and communities, and for creating effective, equitable policies and interventions.",2020-03-14,The Lancet,https://openalex.org/V49861241,Elsevier,https://doi.org/10.1016/s0140-6736(20)30526-2,846,848,395,10227,1,856,2020,https://api.openalex.org/works?filter=cites:W3010336234,https://doi.org/10.1016/s0140-6736(20)30526-2,journal-article,3010336234
2020,10,6,1,-0.000148087816074932,https://openalex.org/W2983579204,Blockchain as a disruptive technology for business: A systematic review,"Abstract Blockchain is the latest ‘disruptive innovation’ that has caught scholars’ attention. It is the underlying technology for Bitcoin and other digital currencies. Stakeholders like developers, entrepreneurs, and technology enthusiasts claim blockchain has the potential to reconfigure the contemporary economic, legal, political and cultural landscape. Skeptics claim the concept and its applications remain ambiguous and uncertain. Business scholars began publishing studies on the emergence and impact of blockchain, bitcoin, and related projects in 2014. In this study, we conduct a PRISMA guided systematic review of blockchain research in the business literature from 2014 to 2018. Our results show a rapid increase of studies over the five year period. The findings also convey key insights about the current state of scholarly investigation on blockchain, including its top benefits and challenges for business and society. We found that blockchain remains an early-stage domain of research in terms of theoretical grounding, methodological diversity, and empirically grounded work. We suggest research directions to improve our understanding of the state of blockchain and advance future research of this increasingly important and expansive area.",2020-04-01,International Journal of Information Management,https://openalex.org/V189354248,Elsevier,https://doi.org/10.1016/j.ijinfomgt.2019.10.014,102029,102029,51,,0,130,2020,https://api.openalex.org/works?filter=cites:W2983579204,https://doi.org/10.1016/j.ijinfomgt.2019.10.014,journal-article,2983579204
2020,16,6,1,-3.54170355941208e-05,https://openalex.org/W2984569157,Meta-analysis: Exposure to Early Life Stress and Risk for Depression in Childhood and Adolescence,"Early life stress (ELS) is associated with increased risk for the development of major depressive disorder (MDD) in adulthood; however, the degree to which ELS is associated with an early onset of MDD (ie, during childhood or adolescence) is not known. In this meta-analysis, we estimated the associations between ELS and the risk for onset of MDD before age 18 years. In addition, we examined the associations between eight specific forms of ELS (ie, sexual abuse, physical abuse, poverty, physical illness/injury, death of a family member, domestic violence, natural disaster, and emotional abuse) and risk for youth-onset MDD.We conducted a systematic search in scientific databases for studies that assessed both ELS and the presence or absence of MDD before age 18 years. We identified 6 journal articles with a total of 44,066 unique participants. We assessed study quality using the Newcastle-Ottawa Scale. When heterogeneous effect sizes were detected, we tested whether demographic and/or methodological factors moderated the association between ELS and MDD.Using a random-effects meta-analysis, we found that individuals who experienced ELS were more likely to develop MDD before the age of 18 years than were individuals without a history of ELS (odds ratio = 2.50; 95% confidence interval 2.08, 3.00). Separate meta-analyses revealed a range of associations with MDD: whereas some types of ELS (eg, poverty) were not associated with MDD, other types (eg, emotional abuse) were associated more strongly with MDD than was ELS considered more broadly.These findings provide important evidence that the adverse effect of ELS on MDD risk manifests early in development, prior to adulthood, and varies by type of ELS.",2020-07-01,Journal of the American Academy of Child and Adolescent Psychiatry,https://openalex.org/V60711021,Elsevier,https://doi.org/10.1016/j.jaac.2019.10.011,842,855,59,7,0,95,2020,https://api.openalex.org/works?filter=cites:W2984569157,https://doi.org/10.1016/j.jaac.2019.10.011,journal-article,2984569157
2020,11,5,1,-8.80204207376111e-05,https://openalex.org/W2995481985,Deepfakes: Trick or treat?,"Although manipulations of visual and auditory media are as old as the media themselves, the recent entrance of deepfakes has marked a turning point in the creation of fake content. Powered by latest technological advances in AI and machine learning, they offer automated procedures to create fake content that is harder and harder to detect to human observers. The possibilities to deceive are endless, including manipulated pictures, videos and audio, that will have large societal impact. Because of this, organizations need to understand the inner workings of the underlying techniques, as well as their strengths and limitations. This article provides a working definition of deepfakes together with an overview of the underlying technology. We classify different deepfake types: photo (face- and body-swapping), audio (voice-swapping, text to speech), video (face-swapping, face-morphing, full body puppetry) and audio and video (lip-synching), and identify risks and opportunities to help organizations think about the future of deepfakes. Finally, we propose the R.E.A.L. framework to manage deepfake risks: Record original content to assure deniability, Expose deepfakes early, Advocate for legal protection and Leverage trust to counter credulity. Following these principles, we hope that our society can be more prepared to counter the deepfake tricks as we appreciate its treats.",2020-03-01,Business Horizons,https://openalex.org/V113237667,Elsevier,https://doi.org/10.1016/j.bushor.2019.11.006,135,146,63,2,0,70,2020,https://api.openalex.org/works?filter=cites:W2995481985,https://doi.org/10.1016/j.bushor.2019.11.006,journal-article,2995481985
2020,16,2,1,-0.000824062628759786,https://openalex.org/W3002500959,The Knowns and Unknowns of Policy Instrument Analysis: Policy Tools and the Current Research Agenda on Policy Mixes,"Policies are made and pursue their goals through policy instruments. Furthermore, policy instruments have become a relevant topic in many policy fields due to their theoretical and empirical relevance. The study of this field dates back to Lowi and others who developed many typologies and theories in classic works by authors such as Hood, Salamon, Linder and Peters, Peters and van Nispen, Schneider and Ingram, Lascomes and Le Galès, among others. This is important work that is linked closely to current research on policy design but, despite much effort, many fundamental issues remain unknown or understudied with respect to the topic. It is time to take inventory of the knowns and unknowns about policy tools. The current article examines four clusters of basic issues in the field which require further research.",2020-01-24,SAGE Open,https://openalex.org/V148277943,SAGE,https://doi.org/10.1177/2158244019900568,215824401990056,215824401990056,10,1,1,66,2020,https://api.openalex.org/works?filter=cites:W3002500959,https://doi.org/10.1177/2158244019900568,journal-article,3002500959
2020,9,7,1,0.000481000481000481,https://openalex.org/W3005289256,A novel deep learning ensemble model with data denoising for short-term wind speed forecasting,"Abstract Wind speed forecasting plays a pivotal role in the security and economy of the power system operation. However, accurate prediction on the wind speed value is still quite challenging due to three features of wind speed: randomness, fluctuation and unpredictability. Though many previous works have studied decomposition-based methods for preprocessing, these methods are difficult to use in actual prediction, since the newly acquired data will greatly affect the values of the initial decomposed subsequences. To solve this problem, a good solution referred as the wavelet soft threshold denoising (WSTD) is proposed herein, which is also systematically introduced for the first time. Moreover, a novel deep learning method gated recurrent unit (GRU) is successfully developed to be combined with WSTD to forecast the wind speed series in this paper. In the ensemble WSTD-GRU model, the WSTD is applied to filter the redundant information from the original data of wind speed series; GRU, which is particularly advantageous for learning the features in case of cooperating with WSTD, is adopted to predict the future multi-step wind speed values. Also, the parameters of the GRU are adjusted by cross-validated grid-search, and they are visualized in the paper. In experiments, thirty-five commonly used models are involved for comparison to evaluate the forecasting performance of the proposed model, through the datasets from four sites in the United States covering a wide range of longitudes. Finally, a superior performance of this methodology with relatively high accuracy, fast forecasting speed, small volatility of results and good adaptability is verified by the test results of case studies aforementioned.",2020-03-01,Energy Conversion and Management,https://openalex.org/V105637730,Elsevier,https://doi.org/10.1016/j.enconman.2020.112524,112524,112524,207,,0,66,2020,https://api.openalex.org/works?filter=cites:W3005289256,https://doi.org/10.1016/j.enconman.2020.112524,journal-article,3005289256
2020,7,7,1,-0.000200621927976728,https://openalex.org/W3009640614,Brain aging comprises many modes of structural and functional change with distinct genetic and biophysical associations,"Brain imaging can be used to study how individuals' brains are aging, compared against population norms. This can inform on aspects of brain health; for example, smoking and blood pressure can be seen to accelerate brain aging. Typically, a single 'brain age' is estimated per subject, whereas here we identified 6 modes of subject variability, from 21,407 subjects' multimodal brain imaging data in UK Biobank. The modes represent different aspects of brain aging, showing distinct patterns of functional and structural brain change, and distinct patterns of association with genetics, lifestyle, cognition, physical measures and disease. While conventional brain-age modelling found no genetic associations, 3 modes had genetic associations. We suggest that it is important not to treat brain aging as a single homogeneous process, and that modelling of distinct patterns of structural and functional change will reveal more biologically meaningful markers of brain aging in health and disease.",2020-03-05,eLife,https://openalex.org/V1336409049,"eLife Sciences Publications, Ltd.",https://doi.org/10.7554/elife.52677,,,9,,1,65,2020,https://api.openalex.org/works?filter=cites:W3009640614,https://doi.org/10.7554/elife.52677,journal-article,3009640614
2020,8,11,1,0.00189753320683112,https://openalex.org/W3014828690,Granular technologies to accelerate decarbonization,"Smaller, modular energy technologies have advantages",2020-04-03,Science,https://openalex.org/V3880285,American Association for the Advancement of Science (AAAS),https://doi.org/10.1126/science.aaz8060,36,39,368,6486,1,63,2020,https://api.openalex.org/works?filter=cites:W3014828690,https://doi.org/10.1126/science.aaz8060,journal-article,3014828690
2020,2,6,1,-0.000306968177632252,https://openalex.org/W2998985600,Association of lead-exposure risk and family income with childhood brain outcomes,"Socioeconomic factors influence brain development and structure, but most studies have overlooked neurotoxic insults that impair development, such as lead exposure. Childhood lead exposure affects cognitive development at the lowest measurable concentrations, but little is known about its impact on brain development during childhood. We examined cross-sectional associations among brain structure, cognition, geocoded measures of the risk of lead exposure and sociodemographic characteristics in 9,712 9- and 10-year-old children. Here we show stronger negative associations of living in high-lead-risk census tracts in children from lower- versus higher-income families. With increasing risk of exposure, children from lower-income families exhibited lower cognitive test scores, smaller cortical volume and smaller cortical surface area. Reducing environmental insults associated with lead-exposure risk might confer greater benefit to children experiencing more environmental adversity, and further understanding of the factors associated with high lead-exposure risk will be critical for improving such outcomes in children. Cross-sectional analysis of data from the Adolescent Brain Cognitive Development Study shows that children from families with low income are at increased risk of cognitive impairment associated with high lead-exposure risk when compared with children from families with high income.",2020-01-13,Nature Medicine,https://openalex.org/V203256638,Springer Nature,https://doi.org/10.1038/s41591-019-0713-y,91,97,26,1,1,59,2020,https://api.openalex.org/works?filter=cites:W2998985600,https://doi.org/10.1038/s41591-019-0713-y,journal-article,2998985600
2020,9,7,1,-0.000273448181569593,https://openalex.org/W3003226905,High-performance alkaline water electrolysis using Aemion™ anion exchange membranes,"Abstract We report the use of all-hydrocarbon anion exchange membranes capable of achieving high current densities through the optimization of MEA fabrication and operating conditions. The electrochemical behaviour of commercially-available Aemion™ anion exchange membranes with various ion-exchange capacities and thicknesses is investigated, and the impact of these properties on electrolyzer performance and short-term stability are discussed. The hydrocarbon anion exchange membrane AF1-HNN8-50, having an ion exchange capacity of 2.1–2.5 meq OH− g−1 and a thickness of 50 μm, was able to achieve current densities of 2 A cm−2 at a potential of 1.82 V using 1 M KOH at 60 °C.",2020-03-01,Journal of Power Sources,https://openalex.org/V177147899,Elsevier,https://doi.org/10.1016/j.jpowsour.2020.227814,227814,227814,451,,0,57,2020,https://api.openalex.org/works?filter=cites:W3003226905,https://doi.org/10.1016/j.jpowsour.2020.227814,journal-article,3003226905
