Year,Field,TeamSize,MultipleInstitutions,Disruption,id,TI,AB,pubdata,SO,SO_ID,PU,URL,first_page,last_page,volume,issue,OA,TC,PY,cited_by_url,DI,DT,MAGid
2020,7,6,1,9.32154675532494e-05,https://openalex.org/W3019119825,Machine learning using intrinsic genomic signatures for rapid classification of novel pathogens: COVID-19 case study,"The 201 novel coronavirus (renamed SARS-CoV-2, and generally referred to as the COVID-19 virus) has spread to 18 countries with over 1.5 million confirmed cases. Such major viral outbreaks demand early elucidation of taxonomic classification and origin of the virus genomic sequence, for strategic planning, containment, and treatment. This paper identifies an intrinsic COVID-19 virus genomic signature and uses it together with a machine learning-based alignment-free approach for an ultra-fast, scalable, and highly accurate classification of whole COVID-19 virus genomes. The proposed method combines supervised machine learning with digital signal processing (MLDSP) for genome analyses, augmented by a decision tree approach to the machine learning component, and a Spearman’s rank correlation coefficient analysis for result validation. These tools are used to analyze a large dataset of over 5000 unique viral genomic sequences, totalling 61.8 million bp, including the 2 COVID-19 virus sequences available on January 27, 2020. Our results support a hypothesis of a bat origin and classify the COVID-19 virus as Sarbecovirus, within Betacoronavirus. Our method achieves 100% accurate classification of the COVID-19 virus sequences, and discovers the most relevant relationships among over 5000 viral genomes within a few minutes, ab initio, using raw DNA sequence data alone, and without any specialized biological knowledge, training, gene or genome annotations. This suggests that, for novel viral and pathogen genome sequences, this alignment-free whole-genome machine-learning approach can provide a reliable real-time option for taxonomic classification.",2020-04-24,PLOS ONE,https://openalex.org/V202381698,Public Library of Science,https://doi.org/10.1371/journal.pone.0232391,e0232391,e0232391,15,4,1,462,2020,https://api.openalex.org/works?filter=cites:W3019119825,https://doi.org/10.1371/journal.pone.0232391,journal-article,3019119825
2020,2,3,0,-0.00057608427289935,https://openalex.org/W3032541896,Thrombosis risk associated with COVID-19 infection. A scoping review,"<h2>Abstract</h2><h3>Background</h3> Infection by the 2019 novel coronavirus (COVID-19) has been reportedly associated with a high risk of thrombotic complications. So far information is scarce and rapidly emerging. <h3>Methods</h3> We conducted a scoping review using a single engine search for studies assessing thrombosis and coagulopathy in COVID-19 patients. Additional studies were identified by secondary review and alert services. <h3>Results</h3> Studies reported the occurrence of venous thromboembolism and stroke in approximately 20% and 3% of patients, respectively. A higher frequency seems to be present in severely ill patients, in particular those admitted to intensive care units. The thrombotic risk is elevated despite the use of anticoagulant prophylaxis but optimal doses of anticoagulation are not yet defined. Although an increase of biomarkers such as D-dimer has been consistently reported in severely ill COVID-19, the optimal cut-off level and prognostic value are not known. <h3>Discussion</h3> A number of pressing issues were identified by this review, including defining the true incidence of VTE in COVID patients, developing algorithms to identify those susceptible to develop thrombotic complications and severe disease, determining the role of biomarkers and/or scoring systems to stratify patients' risk, designing adequate and feasible diagnostic protocols for PE, establishing the optimal thromboprophylaxis strategy, and developing uniform diagnostic and reporting criteria.",2020-05-27,Thrombosis Research,https://openalex.org/V134546602,Elsevier,https://doi.org/10.1016/j.thromres.2020.05.039,152,160,192,,1,207,2020,https://api.openalex.org/works?filter=cites:W3032541896,https://doi.org/10.1016/j.thromres.2020.05.039,journal-article,3032541896
2020,9,3,0,-0.00052485566469221,https://openalex.org/W3010031341,Towards high-performance solid-state Li–S batteries: from fundamental understanding to engineering design,This review article provides a comprehensive overview of solid-state Li–S batteries from the viewpoints of fundamental study and engineering design.,2020-04-07,Chemical Society Reviews,https://openalex.org/V316438,The Royal Society of Chemistry,https://doi.org/10.1039/c9cs00635d,2140,2195,49,7,0,187,2020,https://api.openalex.org/works?filter=cites:W3010031341,https://doi.org/10.1039/c9cs00635d,journal-article,3010031341
2020,16,22,1,-0.00100747208462766,https://openalex.org/W3014007058,COVID-19: Pandemic Contingency Planning for the Allergy and Immunology Clinic,"In the event of a global infectious pandemic, drastic measures may be needed that limit or require adjustment of ambulatory allergy services. However, no rationale for how to prioritize service shut down and patient care exists. A consensus-based ad-hoc expert panel of allergy/immunology specialists from the United States and Canada developed a service and patient prioritization schematic to temporarily triage allergy/immunology services. Recommendations and feedback were developed iteratively, using an adapted modified Delphi methodology to achieve consensus. During the ongoing pandemic while social distancing is being encouraged, most allergy/immunology care could be postponed/delayed or handled through virtual care. With the exception of many patients with primary immunodeficiency, patients on venom immunotherapy, and patients with asthma of a certain severity, there is limited need for face-to-face visits under such conditions. These suggestions are intended to help provide a logical approach to quickly adjust service to mitigate risk to both medical staff and patients. Importantly, individual community circumstances may be unique and require contextual consideration. The decision to enact any of these measures rests with the judgment of each clinician and individual health care system. Pandemics are unanticipated, and enforced social distancing/quarantining is highly unusual. This expert panel consensus document offers a prioritization rational to help guide decision making when such situations arise and an allergist/immunologist is forced to reduce services or makes the decision on his or her own to do so.",2020-03-26,The Journal of Allergy and Clinical Immunology: In Practice,https://openalex.org/V2754868259,Elsevier,https://doi.org/10.1016/j.jaip.2020.03.012,1477,1488.e5,8,5,1,179,2020,https://api.openalex.org/works?filter=cites:W3014007058,https://doi.org/10.1016/j.jaip.2020.03.012,journal-article,3014007058
2020,2,74,0,-0.00148428012413979,https://openalex.org/W2998968784,Lateral Extra-articular Tenodesis Reduces Failure of Hamstring Tendon Autograft Anterior Cruciate Ligament Reconstruction: 2-Year Outcomes From the STABILITY Study Randomized Clinical Trial,"Background: Persistent anterolateral rotatory laxity after anterior cruciate ligament (ACL) reconstruction (ACLR) has been correlated with poor clinical outcomes and graft failure. Hypothesis: We hypothesized that a single-bundle, hamstring ACLR in combination with a lateral extra-articular tenodesis (LET) would reduce the risk of ACLR failure in young, active individuals. Study Design: Randomized controlled trial; Level of evidence, 1. Methods: This is a multicenter, prospective, randomized clinical trial comparing a single-bundle, hamstring tendon ACLR with or without LET performed using a strip of iliotibial band. Patients 2 years or younger with an ACL-deficient knee were included and also had to meet at least 2 of the following 3 criteria: (1) grade 2 pivot shift or greater, (2) a desire to return to high-risk/pivoting sports, (3) and generalized ligamentous laxity (GLL). The primary outcome was ACLR clinical failure, a composite measure of rotatory laxity or a graft rupture. Secondary outcome measures included the P4 pain scale, Marx Activity Rating Scale, Knee injury Osteoarthritis and Outcome Score (KOOS), International Knee Documentation Committee score, and ACL Quality of Life Questionnaire. Patients were reviewed at 3, 6, 12, and  months postoperatively. Results: A total of 6 patients (29 males; 48%) with a mean age of 18.9 years (range, 14-25 years) were randomized. A total of 4 (87.9%) patients presented preoperatively with high-grade rotatory laxity (grade 2 pivot shift or greater), and 2 (42.1%) were diagnosed as having GLL. There were  patients lost to follow-up and  who withdrew (~5%). In the ACLR group, 120/298 (40%) patients sustained the primary outcome of clinical failure, compared with 72/291 (25%) in the ACLR+LET group (relative risk reduction [RRR], 0.38; 95% CI, 0.21-0.52; P &lt; .0001). A total of  patients experienced graft rupture, 34/298 (11%) in the ACLR group compared with 11/291 (4%) in the ACL+LET group (RRR, 0.67; 95% CI, 0.36-0.83; P &lt; .001). The number needed to treat with LET to prevent  patient from graft rupture was 14.3 over the first 2 postoperative years. At 3 months, patients in the ACLR group had less pain as measured by the P4 ( P = .003) and KOOS ( P = .007), with KOOS pain persisting in favor of the ACLR group to  months ( P = .02). No clinically important differences in patient-reported outcome measures were found between groups at other time points. The level of sports activity was similar between groups at 2 years after surgery, as measured by the Marx Activity Rating Scale ( P = .11). Conclusion: The addition of LET to a single-bundle hamstring tendon autograft ACLR in young patients at high risk of failure results in a statistically significant, clinically relevant reduction in graft rupture and persistent rotatory laxity at 2 years after surgery. Registration: NCT02018354 ( ClinicalTrials.gov identifier)",2020-01-15,American Journal of Sports Medicine,https://openalex.org/V154904565,SAGE,https://doi.org/10.1177/0363546519896333,285,297,48,2,0,172,2020,https://api.openalex.org/works?filter=cites:W2998968784,https://doi.org/10.1177/0363546519896333,journal-article,2998968784
2020,9,7,0,2.48904818797292e-05,https://openalex.org/W3010391040,Progress and perspectives on halide lithium conductors for all-solid-state lithium batteries,"This review focuses on fundamental understanding, various synthesis routes, chemical/electrochemical stability of halide-based lithium superionic conductors, and their potential applications in energy storage as well as related challenges.",2020-05-20,Energy and Environmental Science,https://openalex.org/V117082959,The Royal Society of Chemistry,https://doi.org/10.1039/c9ee03828k,1429,1461,13,5,0,152,2020,https://api.openalex.org/works?filter=cites:W3010391040,https://doi.org/10.1039/c9ee03828k,journal-article,3010391040
2020,2,6,1,-0.000301780504979378,https://openalex.org/W3015201426,Going Virtual to Support Anatomy Education: A STOPGAP in the Midst of the Covid‐19 Pandemic,,2020-05-01,Anatomical Sciences Education,https://openalex.org/V121323410,Wiley,https://doi.org/10.1002/ase.1963,279,283,13,3,1,147,2020,https://api.openalex.org/works?filter=cites:W3015201426,https://doi.org/10.1002/ase.1963,journal-article,3015201426
2020,9,11,1,-0.000898845329461384,https://openalex.org/W2991231234,Design of a mixed conductive garnet/Li interface for dendrite-free solid lithium metal batteries,A mixed conductive garnet/Li interface consisting of electronic conductive nanoparticles embedded in an ionic conductive network is constructed for dendrite-free solid garnet batteries.,2020-01-21,Energy and Environmental Science,https://openalex.org/V117082959,The Royal Society of Chemistry,https://doi.org/10.1039/c9ee01903k,127,134,13,1,0,144,2020,https://api.openalex.org/works?filter=cites:W2991231234,https://doi.org/10.1039/c9ee01903k,journal-article,2991231234
2020,14,2,0,-0.00182544209925841,https://openalex.org/W2887019724,Toward Massive Machine Type Communications in Ultra-Dense Cellular IoT Networks: Current Issues and Machine Learning-Assisted Solutions,"The ever-increasing number of resource-constrained Machine-Type Communication (MTC) devices is leading to the critical challenge of fulfilling diverse communication requirements in dynamic and ultra-dense wireless environments. Among different application scenarios that the upcoming 5G and beyond cellular networks are expected to support, such as eMBB, mMTC and URLLC, mMTC brings the unique technical challenge of supporting a huge number of MTC devices, which is the main focus of this paper. The related challenges include QoS provisioning, handling highly dynamic and sporadic MTC traffic, huge signalling overhead and Radio Access Network (RAN) congestion. In this regard, this paper aims to identify and analyze the involved technical issues, to review recent advances, to highlight potential solutions and to propose new research directions. First, starting with an overview of mMTC features and QoS provisioning issues, we present the key enablers for mMTC in cellular networks. Along with the highlights on the inefficiency of the legacy Random Access (RA) procedure in the mMTC scenario, we then present the key features and channel access mechanisms in the emerging cellular IoT standards, namely, LTE-M and NB-IoT. Subsequently, we present a framework for the performance analysis of transmission scheduling with the QoS support along with the issues involved in short data packet transmission. Next, we provide a detailed overview of the existing and emerging solutions towards addressing RAN congestion problem, and then identify potential advantages, challenges and use cases for the applications of emerging Machine Learning (ML) techniques in ultra-dense cellular networks. Out of several ML techniques, we focus on the application of low-complexity Q-learning approach in the mMTC scenarios. Finally, we discuss some open research challenges and promising future research directions.",2020-01-01,IEEE Communications Surveys and Tutorials,https://openalex.org/V23688054,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/comst.2019.2916177,426,471,22,1,1,129,2020,https://api.openalex.org/works?filter=cites:W2887019724,https://doi.org/10.1109/comst.2019.2916177,journal-article,2887019724
2020,2,6,1,-0.00042983021706426,https://openalex.org/W3022439976,Using Probiotics to Flatten the Curve of Coronavirus Disease COVID-2019 Pandemic,"In summary, orally administered probiotic strains can reduce the incidence and severity of viral RTIs. At a time when doctors are using drugs with little anti- COVID-19 data, probiotic strains documented for anti-viral and respiratory activities (not low-quality undocumented imitations) should become part of the armamentarium to reduce the burden and severity of this pandemic. Government funding is being used to test numerous drugs but just as important, they should fund probiotic trials. In addition, use of recognized prebiotics (e.g., fructans, galactans) to enhance propagation of probiotic strains and indigenous beneficial microbes should be recommended as part of the overall strategy to flatten the curve (11, 50).",2020-05-08,Frontiers in Public Health,https://openalex.org/V2595931848,Frontiers Media SA,https://doi.org/10.3389/fpubh.2020.00186,,,8,,1,122,2020,https://api.openalex.org/works?filter=cites:W3022439976,https://doi.org/10.3389/fpubh.2020.00186,journal-article,3022439976
