Year,Field,TeamSize,MultipleInstitutions,Disruption,id,TI,AB,pubdata,SO,SO_ID,PU,URL,first_page,last_page,volume,issue,OA,TC,PY,cited_by_url,DI,DT,MAGid
2020,2,8,1,-0.0141125024845955,https://openalex.org/W3007580879,Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions,"Since the emergence of the first cases in Wuhan, China, the novel coronavirus (2019-nCoV) infection has been quickly spreading out to other provinces and neighboring countries. Estimation of the basic reproduction number by means of mathematical modeling can be helpful for determining the potential and severity of an outbreak and providing critical information for identifying the type of disease interventions and intensity. A deterministic compartmental model was devised based on the clinical progression of the disease, epidemiological status of the individuals, and intervention measures. The estimations based on likelihood and model analysis show that the control reproduction number may be as high as 6.47 (95% CI 5.71–7.23). Sensitivity analyses show that interventions, such as intensive contact tracing followed by quarantine and isolation, can effectively reduce the control reproduction number and transmission risk, with the effect of travel restriction adopted by Wuhan on 2019-nCoV infection in Beijing being almost equivalent to increasing quarantine by a 10 thousand baseline value. It is essential to assess how the expensive, resource-intensive measures implemented by the Chinese authorities can contribute to the prevention and control of the 2019-nCoV infection, and how long they should be maintained. Under the most restrictive measures, the outbreak is expected to peak within two weeks (since 2 January 2020) with a significant low peak value. With travel restriction (no imported exposed individuals to Beijing), the number of infected individuals in seven days will decrease by 91.14% in Beijing, compared with the scenario of no travel restriction.",2020-02-07,Journal of Clinical Medicine,https://openalex.org/V2737969411,MDPI AG,https://doi.org/10.3390/jcm9020462,462,462,9,2,1,818,2020,https://api.openalex.org/works?filter=cites:W3007580879,https://doi.org/10.3390/jcm9020462,journal-article,3007580879
2020,2,11,1,0.000709867153432715,https://openalex.org/W3014842224,Projecting hospital utilization during the COVID-19 outbreaks in the United States,"In the wake of community coronavirus disease 201 (COVID-19) transmission in the United States, there is a growing public health concern regarding the adequacy of resources to treat infected cases. Hospital beds, intensive care units (ICUs), and ventilators are vital for the treatment of patients with severe illness. To project the timing of the outbreak peak and the number of ICU beds required at peak, we simulated a COVID-19 outbreak parameterized with the US population demographics. In scenario analyses, we varied the delay from symptom onset to self-isolation, the proportion of symptomatic individuals practicing self-isolation, and the basic reproduction number R 0 . Without self-isolation, when R 0 = 2.5, treatment of critically ill individuals at the outbreak peak would require 3.8 times more ICU beds than exist in the United States. Self-isolation by 20% of cases 24 h after symptom onset would delay and flatten the outbreak trajectory, reducing the number of ICU beds needed at the peak by 48.4% (interquartile range 46.4–50.3%), although still exceeding existing capacity. When R 0 = 2, twice as many ICU beds would be required at the peak of outbreak in the absence of self-isolation. In this scenario, the proportional impact of self-isolation within 24 h on reducing the peak number of ICU beds is substantially higher at 73.5% (interquartile range 71.4–75.3%). Our estimates underscore the inadequacy of critical care capacity to handle the burgeoning outbreak. Policies that encourage self-isolation, such as paid sick leave, may delay the epidemic peak, giving a window of time that could facilitate emergency mobilization to expand hospital capacity.",2020-04-21,Proceedings of the National Academy of Sciences of the United States of America,https://openalex.org/V125754415,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.2004064117,9122,9126,117,16,1,355,2020,https://api.openalex.org/works?filter=cites:W3014842224,https://doi.org/10.1073/pnas.2004064117,journal-article,3014842224
2020,2,9,1,-0.00641025641025641,https://openalex.org/W3006028839,An updated estimation of the risk of transmission of the novel coronavirus (2019-nCov),"The basic reproduction number of an infectious agent is the average number of infections one case can generate over the course of the infectious period, in a naïve, uninfected population. It is well-known that the estimation of this number may vary due to several methodological issues, including different assumptions and choice of parameters, utilized models, used datasets and estimation period. With the spreading of the novel coronavirus (2019-nCoV) infection, the reproduction number has been found to vary, reflecting the dynamics of transmission of the coronavirus outbreak as well as the case reporting rate. Due to significant variations in the control strategies, which have been changing over time, and thanks to the introduction of detection technologies that have been rapidly improved, enabling to shorten the time from infection/symptoms onset to diagnosis, leading to faster confirmation of the new coronavirus cases, our previous estimations on the transmission risk of the 2019-nCoV need to be revised. By using time-dependent contact and diagnose rates, we refit our previously proposed dynamics transmission model to the data available until January 29th , 202 and re-estimated the effective daily reproduction ratio that better quantifies the evolution of the interventions. We estimated when the effective daily reproduction ratio has fallen below  and when the epidemics will peak. Our updated findings suggest that the best measure is persistent and strict self-isolation. The epidemics will continue to grow, and can peak soon with the peak time depending highly on the public health interventions practically implemented.",2020-01-01,Infectious Disease Modelling,https://openalex.org/V2898427929,Elsevier,https://doi.org/10.1016/j.idm.2020.02.001,248,255,5,,1,348,2020,https://api.openalex.org/works?filter=cites:W3006028839,https://doi.org/10.1016/j.idm.2020.02.001,journal-article,3006028839
2020,15,11,1,0.00220534182798334,https://openalex.org/W3011999140,Impact of international travel and border control measures on the global spread of the novel 2019 coronavirus outbreak,"The novel coronavirus outbreak (COVID-19) in mainland China has rapidly spread across the globe. Within  mo since the outbreak was first reported on December 31, 2019, a total of 56 Severe Acute Respiratory Syndrome (SARS CoV-2) cases have been confirmed in 2 other countries. Travel restrictions and border control measures have been enforced in China and other countries to limit the spread of the outbreak. We estimate the impact of these control measures and investigate the role of the airport travel network on the global spread of the COVID-19 outbreak. Our results show that the daily risk of exporting at least a single SARS CoV-2 case from mainland China via international travel exceeded 95% on January 13, 2020. We found that 77 cases (95% CI: 63 to 967) would have been exported by February 15, 202 without any border or travel restrictions and that the travel lockdowns enforced by the Chinese government averted 70.5% (95% CI: 68.8 to 72.0%) of these cases. In addition, during the first three and a half weeks of implementation, the travel restrictions decreased the daily rate of exportation by 81.3% (95% CI: 80.5 to 82.1%), on average. At this early stage of the epidemic, reduction in the rate of exportation could delay the importation of cases into cities unaffected by the COVID-19 outbreak, buying time to coordinate an appropriate public health response.",2020-03-31,Proceedings of the National Academy of Sciences of the United States of America,https://openalex.org/V125754415,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.2002616117,7504,7509,117,13,1,341,2020,https://api.openalex.org/works?filter=cites:W3011999140,https://doi.org/10.1073/pnas.2002616117,journal-article,3011999140
2020,2,8,1,0.0,https://openalex.org/W3040264860,The implications of silent transmission for the control of COVID-19 outbreaks,"Since the emergence of coronavirus disease 2019 (COVID-19), unprecedented movement restrictions and social distancing measures have been implemented worldwide. The socioeconomic repercussions have fueled calls to lift these measures. In the absence of population-wide restrictions, isolation of infected individuals is key to curtailing transmission. However, the effectiveness of symptom-based isolation in preventing a resurgence depends on the extent of presymptomatic and asymptomatic transmission. We evaluate the contribution of presymptomatic and asymptomatic transmission based on recent individual-level data regarding infectiousness prior to symptom onset and the asymptomatic proportion among all infections. We found that the majority of incidences may be attributable to silent transmission from a combination of the presymptomatic stage and asymptomatic infections. Consequently, even if all symptomatic cases are isolated, a vast outbreak may nonetheless unfold. We further quantified the effect of isolating silent infections in addition to symptomatic cases, finding that over one-third of silent infections must be isolated to suppress a future outbreak below 1% of the population. Our results indicate that symptom-based isolation must be supplemented by rapid contact tracing and testing that identifies asymptomatic and presymptomatic cases, in order to safely lift current restrictions and minimize the risk of resurgence.",2020-07-28,Proceedings of the National Academy of Sciences of the United States of America,https://openalex.org/V125754415,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.2008373117,17513,17515,117,30,1,301,2020,https://api.openalex.org/works?filter=cites:W3040264860,https://doi.org/10.1073/pnas.2008373117,journal-article,3040264860
2020,2,24,1,-0.00120787534726416,https://openalex.org/W3013468450,Novel Coronavirus Infection (COVID-19) in Humans: A Scoping Review and Meta-Analysis,"A growing body of literature on the 2019 novel coronavirus (SARS-CoV-2) is becoming available, but a synthesis of available data has not been conducted. We performed a scoping review of currently available clinical, epidemiological, laboratory, and chest imaging data related to the SARS-CoV-2 infection. We searched MEDLINE, Cochrane CENTRAL, EMBASE, Scopus and LILACS from 0 January 2019 to 2 February 2020. Study selection, data extraction and risk of bias assessment were performed by two independent reviewers. Qualitative synthesis and meta-analysis were conducted using the clinical and laboratory data, and random-effects models were applied to estimate pooled results. A total of 6 studies were included (59,254 patients). The most common disease-related symptoms were fever (82%, 95% confidence interval (CI) 56%–99%; n = 4410), cough (61%, 95% CI 39%–81%; n = 3985), muscle aches and/or fatigue (36%, 95% CI 18%–55%; n = 3778), dyspnea (26%, 95% CI 12%–41%; n = 3700), headache in 12% (95% CI 4%–23%, n = 359 patients), sore throat in 10% (95% CI 5%–17%, n = 1387) and gastrointestinal symptoms in 9% (95% CI 3%–17%, n = 1744). Laboratory findings were described in a lower number of patients and revealed lymphopenia (0.93 × 109/L, 95% CI 0.83–1.03 × 109/L, n = 464) and abnormal C-reactive protein (33.72 mg/dL, 95% CI 21.54–45.91 mg/dL; n = 1637). Radiological findings varied, but mostly described ground-glass opacities and consolidation. Data on treatment options were limited. All-cause mortality was 0.3% (95% CI 0.0%–1.0%; n = 53,631). Epidemiological studies showed that mortality was higher in males and elderly patients. The majority of reported clinical symptoms and laboratory findings related to SARS-CoV-2 infection are non-specific. Clinical suspicion, accompanied by a relevant epidemiological history, should be followed by early imaging and virological assay.",2020-03-30,Journal of Clinical Medicine,https://openalex.org/V2737969411,MDPI AG,https://doi.org/10.3390/jcm9040941,941,941,9,4,1,286,2020,https://api.openalex.org/works?filter=cites:W3013468450,https://doi.org/10.3390/jcm9040941,journal-article,3013468450
2020,10,2,0,-0.00121175401393517,https://openalex.org/W2963697717,Autonomous Vehicles That Interact With Pedestrians: A Survey of Theory and Practice,"One of the major challenges that autonomous cars are facing today is driving in urban environments. To make it a reality, autonomous vehicles require the ability to communicate with other road users and understand their intentions. Such interactions are essential between vehicles and pedestrians, the most vulnerable road users. Understanding pedestrian behavior, however, is not intuitive and depends on various factors, such as demographics of the pedestrians, traffic dynamics, environmental conditions, and so on. In this paper, we identify these factors by surveying pedestrian behavior studies, both the classical works on pedestrian–driver interaction and the modern ones that involve autonomous vehicles. To this end, we will discuss various methods of studying pedestrian behavior and analyze how the factors identified in the literature are interrelated. We will also review the practical applications aimed at solving the interaction problem, including design approaches for autonomous vehicles that communicate with pedestrians and visual perception and reasoning algorithms tailored to understanding pedestrian intention. Based on our findings, we will discuss the open problems and propose future research directions.",2020-03-01,IEEE Transactions on Intelligent Transportation Systems,https://openalex.org/V144771191,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/tits.2019.2901817,900,918,21,3,1,199,2020,https://api.openalex.org/works?filter=cites:W2963697717,https://doi.org/10.1109/tits.2019.2901817,journal-article,2963697717
2020,2,11,1,0.00156586416128401,https://openalex.org/W3012012492,The effectiveness of quarantine and isolation determine the trend of the COVID-19 epidemics in the final phase of the current outbreak in China,"<h2>Abstract</h2><h3>Objectives</h3> Since January 23rd 2020, stringent measures for controlling the novel coronavirus epidemics have been gradually enforced and strengthened in mainland China. The detection and diagnosis have been improved as well. However, the daily reported cases staying in a high level make the epidemics trend prediction difficult. <h3>Methods</h3> Since the traditional SEIR model does not evaluate the effectiveness of control strategies, a novel model in line with the current epidemics process and control measures was proposed, utilizing multisource datasets including cumulative number of reported, death, quarantined and suspected cases. <h3>Results</h3> Results show that the trend of the epidemics mainly depends on quarantined and suspected cases. The predicted cumulative numbers of quarantined and suspected cases nearly reached static states and their inflection points have already been achieved, with the epidemics peak coming soon. The estimated effective reproduction numbers using model-free and model-based methods are decreasing, as well as new infections, while new reported cases are increasing. Most infected cases have been quarantined or put in suspected class, which has been ignored in existing models. <h3>Conclusions</h3> The uncertainty analyses reveal that the epidemics is still uncertain and it is important to continue enhancing the quarantine and isolation strategy and improving the detection rate in mainland China.",2020-04-17,International Journal of Infectious Diseases,https://openalex.org/V35071406,Elsevier,https://doi.org/10.1016/j.ijid.2020.03.018,288,293,95,,1,154,2020,https://api.openalex.org/works?filter=cites:W3012012492,https://doi.org/10.1016/j.ijid.2020.03.018,journal-article,3012012492
2020,14,2,0,-0.000189907759088443,https://openalex.org/W2883445328,40 years of cognitive architectures: core cognitive abilities and practical applications,"In this paper we present a broad overview of the last 40 years of research on cognitive architectures. To date, the number of existing architectures has reached several hundred, but most of the existing surveys do not reflect this growth and instead focus on a handful of well-established architectures. In this survey we aim to provide a more inclusive and high-level overview of the research on cognitive architectures. Our final set of 8 architectures includes 4 that are still actively developed, and borrow from a diverse set of disciplines, spanning areas from psychoanalysis to neuroscience. To keep the length of this paper within reasonable limits we discuss only the core cognitive abilities, such as perception, attention mechanisms, action selection, memory, learning, reasoning and metareasoning. In order to assess the breadth of practical applications of cognitive architectures we present information on over 90 practical projects implemented using the cognitive architectures in our list. We use various visualization techniques to highlight the overall trends in the development of the field. In addition to summarizing the current state-of-the-art in the cognitive architecture research, this survey describes a variety of methods and ideas that have been tried and their relative success in modeling human cognitive abilities, as well as which aspects of cognitive behavior need more research with respect to their mechanistic counterparts and thus can further inform how cognitive science might progress.",2020-01-01,Artificial Intelligence Review,https://openalex.org/V122814990,Springer Nature,https://doi.org/10.1007/s10462-018-9646-y,17,94,53,1,1,143,2020,https://api.openalex.org/works?filter=cites:W2883445328,https://doi.org/10.1007/s10462-018-9646-y,journal-article,2883445328
2020,11,3,1,0.0,https://openalex.org/W2804172264,Tensions in Stakeholder Theory,"A number of tensions have been suggested between stakeholder theory and strategic management (SM). Following a brief review of the histories of stakeholder theory and mainstream SM, we argue that many of the tensions are more apparent than real, representing different narratives about stakeholder theory, SM, business, and ethics. Part of the difference in these two theoretical positions is due to the fact that they seek to solve different problems. However, we suggest how there are areas of overlap, and we argue that some of the tensions may, instead, provide interesting ways to put the two areas of scholarship and practice together. We maintain that SM and stakeholder theory could mutually benefit from a more pragmatist philosophy.",2020-02-01,Business & Society,https://openalex.org/V44376543,SAGE,https://doi.org/10.1177/0007650318773750,213,231,59,2,0,117,2020,https://api.openalex.org/works?filter=cites:W2804172264,https://doi.org/10.1177/0007650318773750,journal-article,2804172264
